document_name,link_to_source,document_type,judge_author,court_type,country,state,court,order_type,case_types,ai_type,ai_use_case_for_filings,prohibited,disclose_ai_use_w_each_filing,disclose_ai_tool_used,disclose_how_ai_tool_used,identify_sections_drafted_with_ai,disclose_process_used_to_check_accuracy,certify_accuracy_non_use_on_notice,certify_accuracy_non_use_w_each_filing,certify_accuracy_if_planning_to_use_ai,certify_no_unauthorized_disclosure,certify_accuracy_w_each_filing_if_ai_used,just_a_warning,references_other_procedural_rules,maintain_ai_prompt_records,proprietary_info_nondisclosure_req,disclose_ai_generated_evidence,notice_to_opposing_parties_ai_evidence,ai_to_record_in_courtroom,applies_to,other_reqs_notes,date_yyyy_mm,court_original,court_abbreviation,judge_title,judge_name_clean,judge_last_name
"Judge's Procedures: 28. Generative Artificial Intelligence (""AI"")",https://www.cacd.uscourts.gov/honorable-karen-e-scott,Standing Order,Judge Karen E. Scott,Federal,US,California,US DC Central District of California,Judge Level,"Criminal,Civil",Any AI,Create,,No,,,,,,No,,,,checked,FRCP 11,,,,,,Attorneys,,,US DC Central District of California,C.D. Cal.,Judge,Karen E. Scott,Scott
Part 2 Rules Section 15,https://ww2.nycourts.gov/courts/2jd/kings/civil/MaslowRules.shtml,Local Rules,Judge Aaron D. Maslow,State,US,New York,"Supreme Court, Kings County",Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,Yes,,,,,No,,,,,,"Attorneys,Pro Se Litigants",,,"Supreme Court, Kings County","Supreme Court, Kings County",Judge,Aaron D. Maslow,Maslow
Mandatory Certification Regarding Generative Artificial Intelligence,https://www.txnd.uscourts.gov/judge/judge-brantley-starr,Standing Order,Judge Brantley Starr,Federal,US,Texas,US DC Northern District of Texas,Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Can move for leave if party believes a platform has requisite accuracy and reliability for legal briefing,2023-05,US DC Northern District of Texas,N.D. Tex.,Judge,Brantley Starr,Starr
Standing Order for Civil Cases Before Magistrate Judge Fuentes,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Fuentes/Standing%20Order%20For%20Civil%20Cases%20Before%20Judge%20Fuentes%20revision%201-9-24.pdf,Standing Order,Magistrate Judge Gabriel A. Fuentes,Federal,US,Illinois,US DC Northern District of Illinois,Judge Level,Civil,"Gen AI, excluding standard research tools","Prepare,Draft,Research",,Yes,,,,,,No,,,,,FRCP 11,,,,,,Any Parties,Must disclose only that AI was used. Notes that it is not intended to reveal attorney work product,2023-05,US DC Northern District of Illinois,N.D. Ill.,Magistrate Judge,Gabriel A. Fuentes,Fuentes
Pleadings Using Generative Artificial Intelligence,https://www.txnb.uscourts.gov/sites/txnb/files/news/General%20Order%202023-03%20Pleadings%20Using%20Generative%20Artificial%20Intelligence-signed.pdf,General Order,Judge Stacey G.C. Jernigan,Federal,US,Texas,US Bankruptcy Court Northern District of Texas,Court Level,Bankruptcy,Gen AI,Draft,,No,,,,,,No,,,,checked,FRBP 9011,,,,,,"Pro Se Litigants,Attorneys",,2023-06,US Bankruptcy Court Northern District of Texas,Bankr. N.D. Tex.,Judge,Stacey G.C. Jernigan,Jernigan
"Standing Order Re: Artificial Intelligence (""AI"") in Cases Assigned to Judge Baylson",https://www.paed.uscourts.gov/sites/paed/files/documents/locrules/standord/Standing%20Order%20Re%20Artificial%20Intelligence%206.6.pdf,Standing Order,Judge Michael M. Baylson,Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,Judge Level,"Criminal,Civil",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",,2023-06,US DC Eastern District of Pennsylvania,E.D. Pa.,Judge,Michael M. Baylson,Baylson
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/Order%20on%20Artificial%20Intelligence.pdf,Standing Order,Judge Stephen Alexander Vaden,Federal,US,,US Court of International Trade,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,,,,"USCIT 7(b),USCIT 5(g)",,checked,,,,Any Parties,Must disclose AI tool used,2023-06,US Court of International Trade,Ct. Int'l Trade,Judge,Stephen Alexander Vaden,Vaden
Standing Order Regarding the Use of Artificial Intelligence,https://img1.wsimg.com/blobby/go/2f8cb9d7-adb6-4232-a36b-27b72fdfcd38/downloads/Standing%20order%20Regarding%20Use%20of%20Artificial%20Int.pdf?ver=1697636353579,Standing Order,Judge Roy B. Ferguson,State,US,Texas,394th District Court of Texas,Judge Level,Civil,Gen AI,"Draft,Research",,No,,,,,,No,checked,,,,No,,,,,,"Pro Se Litigants,Attorneys",Need to file certification before using Gen AI in any filings. Concern because order might mean that any one who uses any form of AI must file a certification regarding use of Gen AI in filings,2023-06,394th District Court of Texas,394th District Court of Texas,Judge,Roy B. Ferguson,Ferguson
"Belenzon v Paws Up Ranch, LLC Order",https://storage.courtlistener.com/recap/gov.uscourts.mtd.73612/gov.uscourts.mtd.73612.8.0.pdf,Court Order,Judge David W. Molloy,Federal,US,Montana,US DC District of Montana,Case Level,Civil,Any AI,Draft,checked,No,,,,,,No,,,,,No,,,,,,Pro Hac Vice Counsel,Order for pro hac vice counsel,2023-06,US DC District of Montana,D. Mont.,Judge,David W. Molloy,Molloy
Re: Use of Artificial Intelligence in Court Submissions,https://www.manitobacourts.mb.ca/site/assets/files/2045/practice_direction_-_use_of_artificial_intelligence_in_court_submissions.pdf,Standing Order,Chief Justice Glenn D. Joyal,State,Canada,Manitoba,Court of King's Bench (Manitoba),Court Level,N/A,Any AI,Prepare,,Yes,,checked,,,,No,,,,checked,No,,,,,,Any Parties,Must disclose how AI was used,2023-06,Court of King's Bench (Manitoba),Court of King's Bench (Manitoba),Chief Justice,Glenn D. Joyal,Joyal
Practice Direction General-29: Use of Artificial Intelligence Tools,https://www.yukoncourts.ca/sites/default/files/2023-06/GENERAL-29%20Use%20of%20AI.pdf,Practice Direction,Chief Justice Suzanne M. Duncan,State,Canada,Yukon,Supreme Court of Yukon,Court Level,"Civil,Criminal",Any AI,Rely On,,Yes,checked,checked,,,,No,,,,,No,,,,,,Any Parties,,2023-06,Supreme Court of Yukon,Supreme Court of Yukon,Chief Justice,Suzanne M. Duncan,Duncan
The Use of Artificial Intelligence in the Preparation of Documents Filed Before the Court,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Cole/Artificial%20Intelligence%20standing%20order.pdf,Standing Order,Magistrate Judge Jeffrey Cole,Federal,US,Illinois,US DC Northern District of Illinois,Judge Level,Civil,Any AI,"Draft,Research",,Yes,,,,,,No,,,,,FRCP 11,,,,,,Any Parties,Must disclose whether AI used in research or drafting,2023-07,US DC Northern District of Illinois,N.D. Ill.,Magistrate Judge,Jeffrey Cole,Cole
