state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
California,C.D. Cal.,Any AI,Attorneys,rails,Any AI Usage|Applies to AI Used for Filings/Drafting,,,0,Judge Karen E. Scott,https://www.cacd.uscourts.gov/honorable-karen-e-scott,"Judge's Procedures: 28. Generative Artificial Intelligence (""AI"")",,,,,,,,,FRCP 11,,,,checked,,Standing Order
New York,"N.Y. Sup. Ct., Kings Cnty.",Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,,1,Judge Aaron D. Maslow,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Part 2 Rules Section 15,Yes,,Yes,,,,,,,checked,checked,,,,Local Rules
Texas,N.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-05,2,Judge Brantley Starr,https://www.txnd.uscourts.gov/judge/judge-brantley-starr,Mandatory Certification Regarding Generative Artificial Intelligence,,,,,,,,,FRCP 11,,,,,,Standing Order
Illinois,N.D. Ill.,"Gen AI, excluding standard research tools",Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-05,3,Magistrate Judge Gabriel A. Fuentes,https://www.ilnd.uscourts.gov/judge_display.php?LastName=Fuentes,Standing Order for Civil Cases Before Magistrate Judge Fuentes,,,Yes,,,,,,FRCP 11,,,,,,Standing Order
Texas,Bankr. N.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-06,4,Judge Stacey G.C. Jernigan,https://www.txnb.uscourts.gov/sites/txnb/files/news/General%20Order%202023-03%20Pleadings%20Using%20Generative%20Artificial%20Intelligence-signed.pdf,Pleadings Using Generative Artificial Intelligence,,,,,,,,,FRBP 9011,,,,checked,,Administrative Order
Pennsylvania,E.D. Pa.,Any AI,"Attorneys,Pro Se Litigants",both,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-06,5,Judge Michael M. Baylson,https://www.paed.uscourts.gov/sites/paed/files/documents/locrules/standord/Standing%20Order%20Re%20Artificial%20Intelligence%206.6.pdf,"Standing Order Re: Artificial Intelligence (""AI"") in Cases Assigned to Judge Baylson",,checked,Yes,,,,,,,,,,,"This standing order refers generally to “Artificial Intelligence (‘AI’)” and requires disclosure if any AI is “used . . . in the preparation of any complaint, answer, motion, brief, or other paper,” and certification that all legal citations were verified as accurate. The use of the phrase “preparation” (as opposed to “filing” or “drafting”) could indicate that disclosure and verification are required when AI tools are used in any part of the preparatory process, including research.",Standing Order
Federal,Ct. Int'l Trade,Gen AI,Any Parties,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-06,6,Judge Stephen Alexander Vaden,https://www.cit.uscourts.gov/sites/cit/files/Order%20on%20Artificial%20Intelligence.pdf,Order on Artificial Intelligence,,,Yes,,,,,checked,"USCIT 7(b),USCIT 5(g)",checked,checked,,,"This standing order is limited to filings drafted using generative AI. It requires that such filings be accompanied by a disclosure identifying the AI tool used and the portions of the filing drafted using GenAI. Additionally, the order requires a certification that no confidential information has been disclosed to an unauthorized party through use of GenAI tools.",Standing Order
Texas,394th District Court of Texas,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-06,7,Judge Roy B. Ferguson,https://img1.wsimg.com/blobby/go/2f8cb9d7-adb6-4232-a36b-27b72fdfcd38/downloads/Standing%20order%20Regarding%20Use%20of%20Artificial%20Int.pdf?ver=1697636353579,Standing Order Regarding the Use of Artificial Intelligence,,,,,,,,,,,,,,,Standing Order
Montana,D. Mont.,Any AI,Attorneys,both,Generative AI Usage|Prohibits Use of AI|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting,,2023-06,8,Judge David W. Molloy,https://storage.courtlistener.com/recap/gov.uscourts.mtd.73612/gov.uscourts.mtd.73612.8.0.pdf,"Belenzon v Paws Up Ranch, LLC Order",,,,,,checked,,,,,,,,"Specifically in the context of orders granting requests to admit counsel pro hac vice, Judge Molloy has issued at least one such order in which he specifies that pro hac counsel “shall do his or her own work” and that “[u]se of artificial intelligence automated drafting programs, such as Chat GPT, is prohibited.” This language seems to refer to generative AI tools, although the broad scope of the language may indicate that the prohibition applies to research as well as drafting/filing. Notably, some of Judge Molloy’s more recent orders have not included this prohibition on the use of GenAI. Attorneys should pay particular attention to any orders from Judge Molloy granting pro hac vice status to confirm whether they contain this language.",Administrative Order
Manitoba,Court of King's Bench (Manitoba),Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-06,9,Chief Justice Glenn D. Joyal,https://www.manitobacourts.mb.ca/site/assets/files/2045/practice_direction_-_use_of_artificial_intelligence_in_court_submissions.pdf,Re: Use of Artificial Intelligence in Court Submissions,,,Yes,,checked,,,,,,,,checked,,Standing Order
